321,Иностранный язык
323,Моделирование турбулентности
324,Современные компьютерные технологии
325,Моделирование динамических систем
326,Моделирование динамических систем
327,Мониторинг и управление сложными системами
328,Технология программирования и практикум на ЭВМ
329,Уравнения математической физики
330,Компьютерная биомеханика
331,Курс профилизации: методы исследования устойчивости уравнений матфизики
332,Проектирование информационных систем
333,Курс профилизации: программирование на С++
334,Семинар в области информационных технологий
335,Компьютерное моделирование в Мепл
336,Дополнительные главы исследования операций
337,Алгебра
339,Обобщенные функции и их приложения
340,Механика жидкости и газа
341,Механика жидкости и газа
343,Аналитическая аэрогидродинамика на компьютере
344,Пакет прикладных программ
345,Теория автоматов и шифров
346,Современные проблемы прикладной математики и информатики
347,Ряды Фурье
348,Компьютерное исследование нелинейных динамических систем
349,Экспериментальные методы в МДДТ
350,Разработка оптимизирующих компиляторов
351,Методы идентификации
352,Актуарная математика
353,Кооперативные игры и их приложение
354,Элементарная математика и ПРМЗ
355,Модели турбулентности
356,Дополнительные главы алгебры
357,Программные средства информационной безопасности
358,Аппаратные проблемы информационной безопасности
359,Веб- и XML-технологии
360,Защита в сетях
362,Основы программирования
363,Архитектуры ПК
364,Объектно-ориентированное программирование
365,Языки и методы программирования
366,Разработка кроссплатформенных приложений
367,Методика обучения информатике на предпрофильном этапе и в профильной школе
369,Информационные образовательные среды
370,Методика обучения и воспитания информатике
371,Курс по выбору
372,Математические модели для биологических жидкостей
373,Научно-исследовательский семинар по механике деформируемых тел и сред
374,Геометрия многообразий
375,Информационные технологии: система Латех2е
376,Методы идентификации динамических систем
377,Динамика вязкого газа
378,Дискретные математические модели
379,Разработка пользовательского интерфейса на Джава
380,"Методика обучения математике в старшей, профильной и в высшей школе"
381,Теория чисел
382,Дискретные модели системного анализа
383,Дискретные модели системного анализа
384,Моделирование проблем сопряжения методом конечных элементов
385,Научно-методический семинар
386,История избранных разделов высшей геометрии
387,Дифференциальная геометрия и топология
388,Профессиональная юридическая деятельность
389,Развитие пространственного мышления учащихся при изучении курса геометрии в старшей школе
390,Административное право
391,Дополнительные главы теории чисел
392,Выборы и становление многопартийности
393,Дополнительные главы алгебры
394,Участие прокурора в рассмотрении уголовных дел
395,Стандартная библиотека С++
396,Теория вероятностей и математическая статистика
397,Защита гражданских прав
398,Дифференциальные уравнения
399,Дифференциальные уравнения
400,Теория автоматов и формальных грамматик. Курсовая работа
401,Вычислительные системы и микропрограммирование
402,Актуальные проблемы вещного права
403,Доказывание и доказательства в гражданском и арбитражном процессе
404,Конкурентное право
405,Модели компьютерной безопасности
406,Избранные разделы математического анализа
407,Актуарная математика
408,Основы теории вероятностей
409,Защита информации в сети
410,Группы Ли и дифференциальные уравнения
411,Интегро-дифференциальные уравнения финансовой математики
412,Методика преподавания информатики в системе непрерывного образования
413,Курс по выбору
414,Практикум на ЭВМ
415,СуперЭВМ
416,Основы программирования
417,Уравнения математической физики
418,Математический анализ
419,История информатики и вычислительной техники
420,История математики
421,Практикум на ЭВМ
422,Языки и методы программирования
423,Технологии БД
424,Практикум на ЭВМ
425,Вариационное исчисление и методы оптимизации
426,Уголовное право (Общая)
427,Уголовное право (Общая)
428,Уголовное право (Общая)
429,Уголовное право (Общая)
430,Уголовное право (Общая)
432,Уголовное право
433,Уголовное право
434,Уголовное право
435,Уголовное право
436,Уголовное право
437,Уголовное право
438,Уголовное право
439,Методы оптимизации и исследование операций
440,Алгебра
441,Теория чисел и числовые системы
443,Уголовный процесс
444,Дискретная математика и математическая логика
445,Методы оптимизации и исследование операций
447,Методы оптимизации и исследование операций
449,Математический анализ
451,Гражданский процесс
452,Гражданское право
453,Пакет прикладных программ
454,Технология программирования и практикум на ЭВМ
455,Архитектура вычислительных систем
456,Архитектура компьютеров
457,Современные модели материалов
458,Предпринимательское право
459,Гражданское право
460,Предпринимательское право
461,Неклассические логики
462,Математическая экология
463,Разработка пользовательского интерфейса
464,Параллельное и многопоточное программирование
465,Платформа .НЕТ
466,Международное частное право
467,Алгебра линейных операторов в конечномерных линейных пространствах
468,Дифференциальные уравнения
469,Дифференциальные уравнения
470,Информационно-коммуникационные технологии
471,Право социального обеспечения
472,Дифференциальные уравнения
473,Дополнительные главы математической физики
474,Избранные главы нелинейной динамики
475,Технологии веб-дизайна образовательных ресурсов
476,Практикум по решению задач на ЭВМ
477,Математическая логика
478,Численные методы
479,Математическая логика и теория алгоритмов
480,"Теория полезности, кооперативные игры и их приложения"
481,Информационные технологии
482,Компьютерное моделирование в АНСИС
483,Интегральные уравнения
484,Нейронные сети
485,Логическое программирование
486,Детерминированная финансовая математика
487,Алгебра и геометрия
488,Геометрия
489,Теория и методика математического образования
490,Алгебра и геометрия
491,Дискретная математика
492,Дискретная математика и математическая логика
493,Теория государства и права
494,Курс профилизации: сетевые технологии
495,Нотариат в РФ
496,Административное право
497,Конституционное право
498,Правоохранительные органы
499,Адвокатура в РФ
500,Сети Изернет и ТСР/IP (ТК)
501,Технологии Джава
502,Гражданское право
503,Несостоявшиеся и недействительные сделки
504,Математический анализ
505,Комплексный анализ
506,КПЗС
507,Теория полезности и кооперативные игры
508,Экспериментальные методы в гидроаэродинамике
509,Прикладная газовая динамика
510,Практикум на ЭВМ по гидроаэродинамике
511,Основы бизнеса
512,Профессиональные навыки юриста
513,Правовые семьи сложносоставных гособразований
514,Муниципальное право
515,Финансово-экономическая основа местного самоуправления
516,Налоговое право
517,Математический анализ
518,Уголовное законодательство: современное состояние и перспективы развития
519,Математические основы защиты информации
520,Математические основы защиты информации
521,Теория информации и криптография
522,Корпоративное право
523,Стратегический менеджмент малых и средних предприятий
524,Иностранный язык
525,Иностранный язык
526,Риск-менеджмент
529,Теоретическая механика
530,Теоретическая и прикладная механика
531,Математические модели и вычислительные методы финансовой математики
532,Механика сплошной среды
533,Создание программного обеспечения
534,Теоретическая и прикладная механика
535,Деловые коммуникации
536,Математический анализ
537,Финансовый инжиниринг
538,Прикладная газовая динамика
539,Аэроакустика
541,Коучинг
542,Маркетинговые исследования
543,Избранные главы математического анализа
544,Системы линейных дифференциальных уравнений и методы их решения
545,Теория функций действительного и комплексного переменного
546,История математики
547,История математики
548,Математический анализ
549,Математический анализ
550,Стратегический маркетинг
552,Алгоритмы и структуры данных
553,Программирование на Турбо Паскале
554,Программирование на языке Питон
555,Методика обучения математике
556,Введение в информатику
557,Курс по выбору 1
558,Геометрические построения на перспективном чертеже
559,Развитие пространственного мышления учащихся при изучении курса геометрии в основной школе
560,Методика обучения учащихся решению текстовых задач в основной школе
563,Алгоритмы оптимизации на графах
564,Методы оптимизации и исследование операций
565,Государственное регулирование экономики
566,Лизинг и факторинг
567,Семинар в области информационных технологий
568,Комплексный анализ
569,Линейная и общая алгебра
570,Нелинейные задачи теории упругости и пластичности
571,Функциональный анализ
572,Методы защиты информации
573,Преобразование программ
574,Курс профилизации: объектно-ориентированное программирование
575,Математические модели в механике сплошной среды
576,Педагогические риски информатизации образования
577,Методологический семинар
578,Педагогическая информатика
579,Алгебра и геометрия
580,Цифровая обработка сигналов
581,Линейная и общая алгебра
583,Прикладное программирование и решение задач матфизики
584,"﻿Современные технологии сбора, обработки и анализа правовой информации"
585,Анализ и обработка изображений
586,Математические модели для биологических жидкостей
587,Информационные технологии в профессиональной деятельности
588,Территориальный маркетинг
589,Цифровая обработка сигналов
590,История информатики
591,Математический анализ
592,Компьютерные науки
593,Алгоритмы решения вычислительно сложных задач
594,Информационные технологии: система Латех2е
595,Маркетинговые информационные системы
596,Кодовые криптосистемы
597,Логистика
599,Теория случайных процессов в механике
600,Экспериментальные методы в МДДТ
601,Оценка стоимости бизнеса
602,Современные численные методы
603,Приложение математических методов к решению геометрических задач
604,История избранных разделов высшей геометрии
605,Численные методы
606,Численные методы
607,Вычислительная математика
608,Поведение потребителей
609,Численные методы
610,"Устойчивость динамических систем, бифуркации и хаос"
611,Теория катастроф и ее приложения
613,﻿Стеганография
614,Математические модели для биологических жидкостей
615,Веб-технологии
616,Веб-технологии
617,Математические модели естественных наук
618,Теория федерализма
619,Физико-механический практикум
620,Разработка корпоративных приложений
621,﻿Теория игр и ее приложения
622,Численные методы
623,﻿Моделирование информационных систем
624,Курс по выбору
625,Физико-математический практикум и вычислительная механика
626,Анализ программного кода
627,﻿Дополнительные главы теории экстремальных задач
628,Основные направления развития гражданского процесса
629,Деловые коммуникации
630,Деловые коммуникации
631,Непрерывные математические модели
