ID,Name,Abbr
227,Основы механики сплошной среды,ОМСС
228,Математические модели в механике сплошной среды,Мат мод МСС
229,Научно-методический семинар,
230,Методы визуализации гидродинамических потоков в среде АНСИС,
231,Динамика атмосферы,
232,Прикладная газовая динамика,
233,Аэроакустика,
234,Практикум на ЭВМ по гидроаэродинамике,
235,Экспериментальные методы в гидроаэродинамике,
236,Актуальные проблемы гидромеханики,АПГ
237,Гидроупругость,Гидроупругость
238,Метод граничных интегральных уравнений,МГИУ
239,Курсы профилизации: метод граничных интегральных уравнений в матфизике,
240,Цифровые образовательные ресурсы в обучении математике: методика использования и технологии разработки,
241,История математики и математического образования в России,
242,Методы теории оболочек в биомеханике,МТОвБ
243,Компьютерное моделирование в ANSYS,КМ в ANSYS
244,Теория случайных процессов в механике,ТСПМ
245,Численные методы решения некорректных задач,ЧМ реш НЗ
246,Моделирование живых систем,МЖС
247,Введение в биомеханику,Введение в БМ
248,Научно-исследовательский семинар по механике деформируемых тел и сред,НИС по МДТС
249,﻿Введение в наномеханику,Введение в НМ
250,Методы анализа и синтеза оптимальных конструкций,
251,Компьютерный практикум по механике (Методы конечных и граничных  элементов в механике),
253,Математические модели компьютерной томографии,ММКТ
254,Модели связанных полей,МСП
255,Современные модели материалов,
256,Приложения функционального анализа в механике сплошных сред,
257,Научно-исследовательский семинар по проблемам биомеханики,
258,Механика разрушений,Мех раз
259,Современные модели теории оболочек,
260,Математические модели механики кровообращения,МММК
261,Компьютерная биомеханика,КБ
262,Методы визуализации динамических систем,МВДС
263,Компьютерное моделирование в Maple,
264,Контактные задачи теории упругости,
265,Современные вычислительные технологии,
266,Экспериментальные методы в МДДТ,
267,Динамика механических систем,
268,Теория пластин и оболочек,
269,Нелинейные задачи теории упругости и пластичности,
270,Прочность материалов и конструкций,
271,Приложения функционального анализа в теории упругости,
272,Обратные задачи в МСС,
273,Обратные задачи в биомеханике,
274,Современные модели деформируемых систем,
275,Моделирование и компьютерный дизайн композитных материалов,
276,Методы компьютерной алгебры в биомеханике,
277,Методы идентификации,МИ
278,Математические модели гидродинамики кровообращения,
279,Лаборатория специализации,
280,Разработка кроссплатформенных приложений,Разработка КП
281,Оценка сложности алгоритмов,Оценка сл алг
282,﻿Компьютерные технологии: графика в печатных документах,ГПД
283,Алгебры непрерывных функций,Алг НФ
284,Курс профилизации: методы исследования устойчивости уравнений матфизики,
285,Информационно-коммуникационные технологии,ИКТ
286,Курс профилизации: компьютерное моделирование потоков,
287,Экспериментальные методы в МСС,
288,Современные информационно-издательские системы,
289,Курс профилизации: численное решение задач прикладной математики,
290,ООП и C++,ООП и C++
291,Дополнительные главы исследования операций,Доп. гл. ИО
292,Кооперативные игры и их приложение,Кооп. игры и прил.
293,Нечеткие экспертные системы,Нечеткие эксп сист
294,Нечеткие множества,Нечеткие множества
295,Математическое моделирование на основе нечетких множеств,
296,Научно-исследовательский семинар: Дополнительные главы теории экстремальных задач,
297,Проектирование информационных систем,
298,СУБД ORACLE,
299,Информационные технологии: система LaTeX2e,
300,Задачи оптимального управления,Зад опт упр
301,Асимптотические методы,АМ
302,Элементы гармонического анализа,
303,Платформа .NET,
304,Теория информации,ТИ
305,Некоммутативные коды,
307,Прикладные задачи математической физики,
308,Модели защиты информации,МЗИ
309,Дополнительные главы функционального анализа 2,Доп гл ф анализа2
310,Уравнения Коши-Римана,Ур К-Р
311,Геометрические методы математической физики,ГММФ
312,Моделирование динамических систем,МДС
313,Технология программирования и практикум на ЭВМ,
314,Мониторинг и управление сложными системами,
315,Моделирование турбулентности,МТ
316,Уравнения с частными производными,УЧП
317,Фи-теория,
318,Актуарная математика,АМ
319,Seminar IT in Engineering,
320,Курс профилизации: программирование на C++,
321,Курс профилизации: процедурно и объектно-ориентированное программирование на C++,
322,Нелинейные модели,НМ
323,Modern problems of applied mathematics and informatics,
324,Web- и XML-технологии,
325,Аппаратные проблемы информационной безопасности,
326,Программные средства информационной безопасности,
327,Защита в сетях,ЗС
328,Mathematical models for biological fluids,
329,Обобщенные функции и их приложения,
330,Аналитическая аэрогидродинамика на компьютере,
331,Динамика вязкого газа,
332,Механика жидкости и газа,
333,Интегральные преобразования и тонкие слои,
334,Теория автоматов и шифров,
335,Модели турбулентности,
336,Компьютерное исследование нелинейных динамических систем,
337,Архитектуры ПК,
338,Компьютерная поддержка задач финансовой математики,
339,"Курс профилизации: конфигурирование и программирование в системе ""1С: Предприятие""",
340,Программирование в среде 1С,
341,Геометрия многообразий,
343,Средства информатизации учебного процесса детей со специальными возможностями,
344,FEM modeling of coupling problems,
345,Discrete models of systems analysis,
346,Курсовая работа,Курсовая
347,заменить,
348,Стандартная библиотека C++,C++ STL
349,Дополнительные главы теории чисел,
350,Модели компьютерной безопасности,МКБ
351,Дополнительные главы дифференциальных уравнений,Доп гл ДУ
352,Теория автоматов и формальных грамматик. Курсовая работа,ТАФГ КР
353,Основы теории вероятностей,Осн теор вер
355,Интегро-дифференциальные уравнения финансовой математики,ИДУ ФМ
356,Группы Ли и дифференциальные уравнения,Гр Ли и ДУ
357,СуперЭВМ,СуперЭВМ
358,Иностранный язык в сфере коммуникации, 
359,Корпоративное право,
360,Муниципальное право,
361,Международное частное право,
362,Налоговое право,
363,Адвокатура в РФ,
364,Актуальные проблемы ответственности в гражданском праве,
365,Государство и право как институты современного гражданского общества,
366,КПЗС,
367,Несостоявшиеся и недействительные сделки,
368,Основные направления развития гражданского процесса,
369,Проблемы доказывания в уголовном судопроизводстве и судебная экспертиза,
370,Проблемы теории и практики современного гражданского общества,
371,Развитие научной теории и законодательства по конституционному и административному праву,
372,Состояние и тенденции развития уголовного судопроизводства России,
373,Теория федерализма,
374,Уголовное законодательство: современное состояние и перспективы развития,
375,Финансово-экономическая основа местного самоуправления,
376,Правоохранительные органы,
377,Предпринимательское право,
378,Право социального обеспечения,
379,Финансовое право,
380,Английский язык для общения в сфере профессиональной деятельности,
381,Защита прав потребителей,
382,Культура речевого общения,
383,Нотариат в РФ,
384,Основы ОРД,
385,Правовые семьи сложносоставных гособразований,
386,Профессиональные навыки юриста,
387,Психология преодоления коммуникативных барьеров: личностный и профессиональный аспекты,
388,Психотехнологии развития личности,
389,Тренинг коммуникативной компетентности и креативности,
390,Архитектура вычислительных систем,
391,Архитектура компьютеров,
392,Информационные технологии,
393,Курс профилизации: алгоритмы алгебры и теории чисел,
394,Курс профилизации: сетевые технологии,
395,Логическое программирование,
397,Метапрограммирование в C++,
398,Нейронные сети,
399,Разработка корпоративных приложений,
400,Теория алгоритмов,
401,Теория информации и криптография,
402,Алгоритмы быстрых вычислений,
403,Вычислительная математика,
404,Непрерывные математические модели,
405,"Устойчивость динамических систем, бифуркации и хаос",
406,Создание программного обеспечения,
407,"Нелинейная динамика, асимптотические и численные методы",
408,Современные численные методы,
409,Избранные главы нелинейной динамики,
410,Прикладное программирование и решение задач матфизики,
411,Теория катастроф и ее приложения,
412,Теория ветвления решений нелинейных уравнений математической физики,
413,Дополнительные главы математической физики,
414,"Конфигурирование и программирование в системе ""1С: Предприятие""",
415,Теория случайных процессов,
416,Основания геометрии,
417,Геометрическая теория многогранников,
418,"Теория вероятностей, математическая статистика",
419,Компьютерные технологии: графика в печатных документах,
420,Научные основы элементарной математики,
421,Алгебра линейных операторов в конечномерных линейных пространствах,
422,Исследование операций и методы оптимизации,
423,Системы линейных дифференциальных уравнений и методы их решения,
424,Геометрические построения на перспективном чертеже,
425,Методика подготовки учащихся к участию в математических конкурсах и олимпиадах,
426,Методика обучения математике,
427,Методика обучения учащихся решению текстовых задач в основной школе,
428,Дифференциальная геометрия. Теория кривых,
429,Развитие пространственного мышления учащихся при изучении курса геометрии в основной школе,
430,Приложение математических методов к решению геометрических задач,
431,Алгебра и аналитическая геометрия,
432,Алгоритмы решения вычислительно сложных задач,
433,Дискретная математика и математическая логика,
434,Кодовые криптосистемы,
436,Криптография,
437,Курс профилизации: объектно-ориентированное программирование,
438,Курс профилизации: основы финансовой математики,
439,Курс профилизации: уравнения типа свертки,
440,Курсовые работы по курсу Теория автоматов и формальных языков,
441,Линейная и общая алгебра,
442,Методы алгебраической геометрии,
443,Методы защиты информации,МетЗИ
444,Неклассические логики,
445,Параллельное и многопоточное программирование,
446,Преобразование программ,
447,Программирование ускорителей пераллельных вычислений,
448,Псевдодифференциальные операторы,
449,Разработка пользовательского интерфейса,
450,Семантика языков программирования,
451,Сингулярные интегральные уравнения,
452,Цифровая обработка сигналов,
453,Анализ и обработка изображений,
454,Искусственный интеллект, ИИ
455,Математическая экология,
456,Интегральные уравнения,
457,Пространства гладких функций,
458,Пакеты прикладных программ,ППП
459,Физико-математический практикум и вычислительная механика,
460,Вариационные исчисления и методы оптимизации,ВИ и МО
462,Моделирование современных композиционных материалов,
463,Теория и технология метода конечных элементов,
464,Механика полимеров и композитных материалов,
465,Основы Web-дизайна,
466,Mathematical models of continuum mechanics and biomechanics,
467,Computer algebra methods and applications,
468,Математические основы искусственного интеллекта,
469,Процессы Леви и финансовая математика,
470,Процессы с дискретным временем,
471,Проeкционно-сеточные методы и моделирование в MatLab,
472,Генетические алгоритмы и нейронные сети,
473,Моделирование и компьютерный дизайн современных активных материалов,
474,Концепции современного естествознания,
475,Информационные системы и технологии в инженерной деятельности,
476,Концепции современного естествознания (Математические модели в естествознании и экологии),
477,Modern numerical methods in mathematical modeling,
478,Stochastic modeling and statistical data processing techniques,
479,Numerical methods of linear algebra for sparse matrices, 
480,Курс профилизации: асимптотические и численные методы,
481,Курс профилизации: метод граничных интегральных уравнений в матфизике,
482,Практикум на ЭВМ по гидроаэромеханике,
483,Физико-механический практикум и вычислительная механика,
484,Динамика вязкой жидкости,
485,Алгоритмы и структуры данных,
486,Информационные технологии в профессиональной деятельности,
487,"Inverse problems, identification and optimization",
488,Численные методы в аэрогидродинамике,
489,Факультативный курс 2: Динамика атмосферы,
490,"Теория полезности, кооперативные игры и их приложения",
491,Курс профилизации: теория полезности и кооперативные игры,
492,Основы стохастической финансовой математики,
